question,n,fitness_type,pop_size,max_generations,Pc,Pm,best_run_index,chromosome,total_weight,total_value,best_fitness
th_population,100,full,50,400,0.8,0.2,4,1110111101 1111111111 1111111111 1111111111 1001111111 0111111101 1110101111 1101111101 1101101011 1011111111,267.0,488.0,1.5847856026424128e+63
th_population,100,stupid,50,400,0.8,0.2,0,1110111011 1111110011 0101110100 1111111111 1111101111 1011101011 1011100100 1110011111 1111111101 0110101110,213.0,411.0,5.2223105971293664e+57
th_population,100,simple,100,400,0.8,0.2,2,1111101111 1011111011 1001110110 1100111001 1001001101 1111101100 1010110111 1101111011 1110111111 1110110110,213.0,414.0,414.0
th_population,100,full,100,400,0.8,0.2,2,1111111111 1111111111 1101110101 1111111111 1111111101 1111011101 1101111111 0101101111 1111111111 1111111101,272.0,497.0,4.6573291179695404e+64
th_population,100,stupid,100,400,0.8,0.2,1,0011111101 1111111011 1111110100 1111101001 0011111001 1100110111 0111111101 1110110111 1110111001 1110110111,213.0,413.0,9.903048243445314e+57
th_population,100,simple,200,400,0.8,0.2,4,1110111100 1011111111 1111111111 1110111100 0001011011 1101101111 1000111110 1100111101 0101111010 0110111011,213.0,415.0,415.0
th_population,100,full,200,400,0.8,0.2,1,1111111111 1011111011 1111111111 1111111111 1011111101 1111101111 1111111111 0110111101 1011111111 0110111011,271.0,499.0,5.348651408918146e+64
th_population,100,stupid,200,400,0.8,0.2,1,0110110101 1111101011 1101011110 1110101001 1001111111 1100100111 1111111110 1111111111 1101001001 1111111111,213.0,419.0,2.924493934392445e+58
th_population,100,simple,300,400,0.8,0.2,2,1110111101 1111100101 1001110011 1111101101 0010111101 1100110101 1100110111 1110011101 1111110111 0110110111,213.0,413.0,413.0
th_population,100,full,300,400,0.8,0.2,1,1101111111 1011111111 1111111111 1111111111 1011011110 1111111111 1111111111 1111111011 1001110111 1011111110,273.0,497.0,4.584558350501269e+64
th_population,100,stupid,300,400,0.8,0.2,0,1110111011 1011111111 0111110100 0011011101 1011010001 1011101111 0101111111 1101111011 1111111001 1110111111,212.0,415.0,1.6247188524402476e+58
j_crossover_prob,10,simple,100,400,0.6,0.2,0,0111111111,22.0,39.0,39.0
j_crossover_prob,10,full,100,400,0.6,0.2,0,1111111111,24.0,42.0,483840.0
j_crossover_prob,10,stupid,100,400,0.6,0.2,0,1111111101,22.0,39.0,16127961.0
j_crossover_prob,10,simple,100,400,0.7,0.2,0,1111111101,22.0,39.0,39.0
j_crossover_prob,10,full,100,400,0.7,0.2,0,1111111111,24.0,42.0,483840.0
j_crossover_prob,10,stupid,100,400,0.7,0.2,0,1111111101,22.0,39.0,16127961.0
j_crossover_prob,10,simple,100,400,0.9,0.2,0,0111111111,22.0,39.0,39.0
j_crossover_prob,10,full,100,400,0.9,0.2,0,1111111111,24.0,42.0,483840.0
j_crossover_prob,10,stupid,100,400,0.9,0.2,0,0111111111,22.0,39.0,16127961.0
j_crossover_prob,10,simple,100,400,1.0,0.2,0,1111111101,22.0,39.0,39.0
j_crossover_prob,10,full,100,400,1.0,0.2,0,1111111111,24.0,42.0,483840.0
j_crossover_prob,10,stupid,100,400,1.0,0.2,0,1111111101,22.0,39.0,16127961.0
j_crossover_prob,20,simple,100,400,0.6,0.2,0,1100111111 0111001101,39.0,85.0,85.0
j_crossover_prob,20,full,100,400,0.6,0.2,0,1111111111 1111111111,57.0,109.0,119859786547200.0
j_crossover_prob,20,stupid,100,400,0.6,0.2,0,1111011110 1110011111,39.0,81.0,20808990719919.0
j_crossover_prob,20,simple,100,400,0.7,0.2,0,1100111111 0111001101,39.0,85.0,85.0
j_crossover_prob,20,full,100,400,0.7,0.2,0,1111111111 1111111111,57.0,109.0,119859786547200.0
j_crossover_prob,20,stupid,100,400,0.7,0.2,0,1111111100 1110011111,39.0,81.0,20808990719919.0
j_crossover_prob,20,simple,100,400,0.9,0.2,0,1100111111 0111001101,39.0,85.0,85.0
j_crossover_prob,20,full,100,400,0.9,0.2,0,1111111111 1111111111,57.0,109.0,119859786547200.0
j_crossover_prob,20,stupid,100,400,0.9,0.2,0,1111111100 1110011111,39.0,81.0,20808990719919.0
j_crossover_prob,20,simple,100,400,1.0,0.2,0,1100111111 0111001101,39.0,85.0,85.0
j_crossover_prob,20,full,100,400,1.0,0.2,0,1111111111 1111111111,57.0,109.0,119859786547200.0
j_crossover_prob,20,stupid,100,400,1.0,0.2,0,1111011110 1110011111,39.0,81.0,20808990719919.0
j_crossover_prob,60,simple,100,400,0.6,0.2,4,1010011111 1111111111 1001110011 1010110101 0110111011 1011111111,130.0,256.0,256.0
j_crossover_prob,60,full,100,400,0.6,0.2,1,0111111111 1111111111 1111111111 1110111111 1111111111 1111111101,178.0,327.0,9.244958160509459e+41
j_crossover_prob,60,stupid,100,400,0.6,0.2,5,1110111111 1100011111 0111111110 1100101111 0110111111 1011110111,130.0,257.0,8.913105419529536e+36
